EXPERIMENT,gf,mf,σ,T,foram,SYSTEM,%foram,,,,min %,max %,"Here you can find the model output for the carnivorous non-spinose with σ= 0.5, 0.6, 0.8 and 1 with optimum predator -prey length ratio 10:1"
plausible,50,30,1,20,9.69E-06,OLIGO,6.39E-03,,,,,,
plausible,70,20,1,30,7.56E-06,OLIGO,3.00E-03,,,,,,
plausible,45,10,1,20,1.72E-05,MESO,8.58E-03,,,,,,
plausible,55,35,1,20,1.19E-05,MESO,5.91E-03,,,,,,
plausible,55,35,1,20,2.69E-05,EUTRO,1.16E-02,,,,,,
,,,,,,,,,,,,,
other,0,0,1,20,2.45E-02,OLIGO,1.50E+01,,,,,,
other,10,0,1,20,2.47E-02,OLIGO,1.52E+01,,,,,,
other,10,10,1,20,2.47E-02,OLIGO,1.51E+01,,,,,,
other,20,0,1,20,2.50E-02,OLIGO,1.54E+01,,,,,,
other,30,0,1,20,1.72E-02,OLIGO,1.09E+01,,,,,,
other,40,0,1,20,DEAD,OLIGO,DEAD,,,,,,
other,40,10,1,20,2.77E-03,OLIGO,1.82E+00,,,,,,
other,50,10,1,20,DEAD,OLIGO,DEAD,,,,,,
other,50,40,1,20,1.77E-02,OLIGO,1.10E+01,,,,,,
other,50,35,1,20,7.15E-03,OLIGO,4.61E+00,,,,,,
other,45,35,1,20,2.73E-02,OLIGO,1.64E+01,,,,,,
other,45,25,1,20,9.42E-03,OLIGO,6.03E+00,,,,,,
other,45,15,1,20,2.73E-08,OLIGO,1.80E-05,,,,,,
other,45,20,1,20,2.83E-04,OLIGO,1.87E-01,,,,,,
other,55,35,1,20,DEAD,OLIGO,DEAD,,,,,,
other,55,45,1,20,1.43E-02,OLIGO,1.37E+00,,,,,,
other,55,40,1,20,2.85E-07,OLIGO,1.90E-04,,,,,,
other,45,20,1,20,2.84E-04,OLIGO,1.87E-01,,,,,,
,,,,,,,,,,,,,
other,0,0,1,20,1.20E-01,MESO,4.50E+01,,,,,,
other,30,0,1,20,4.10E-02,MESO,1.91E+01,,,,,,
other,50,0,1,20,DEAD,MESO,DEAD,,,,,,
other,45,0,1,20,DEAD,MESO,DEAD,,,,,,
