Scenario,gf,mf,σ,PF biomass (mmolN m-3),Enviroment,Temperature (oC),Predation decrease (%),%foram,,min,max,,"Here we present the model output for the herbivorous non-spinose with σ = 0.5, 0.6, 0.8, 1.0"
other,60,30,0.6,4.93E-03,E,30,0,1.51E+00,,,,,
other,60,40,0.6,4.93E-03,E,30,0,1.51E+00,,,,,
other,60,50,0.6,4.93E-03,E,30,0,1.51E+00,,,,,
other,60,60,0.6,4.93E-03,E,30,0,1.51E+00,,,,,
other,60,30,0.6,4.93E-03,E,30,0,1.51E+00,,,,,
other,70,0,0.6,DEAD,E,30,0,DEAD,,,,,
other,70,10,0.6,DEAD,E,30,0,DEAD,,,,,
other,70,30,0.6,DEAD,E,30,0,DEAD,,,,,
other,70,20,0.6,DEAD,E,30,0,DEAD,,,,,
other,70,40,0.6,DEAD,E,30,0,DEAD,,,,,
other,70,50,0.6,4.39E-08,E,30,0,9.26E-06,,,,,
other,70,55,0.6,5.20E-04,E,30,0,1.09E-01,,,,,
,,,,,,,,,,,,,
other,20,70,0.7,1.92E-02,O,20,0,1.31E+01,,,,,
other,20,50,0.7,1.53E-02,O,20,0,1.30E+01,,,,,
other,20,30,0.7,DEAD,O,20,0,DEAD,,,,,
other,20,40,0.7,DEAD,O,20,0,DEAD,,,,,
other,25,40,0.7,DEAD,O,20,0,DEAD,,,,,
other,25,50,0.7,2.62E-03,O,20,0,1.72E+00,,,,,
other,25,45,0.7,3.40E-07,O,20,0,2.24E-04,,,,,
other,40,60,0.7,DEAD,O,20,0,DEAD,,,,,
other,40,70,0.7,1.67E-03,O,20,0,1.10E+00,,,,,
other,40,65,0.7,1.67E-03,O,20,0,1.09E+00,,,,,
other,10,0,0.7,DEAD,O,20,0,DEAD,,,,,
other,10,20,0.7,DEAD,O,20,0,DEAD,,,,,
other,10,30,0.7,3.37E-03,O,20,0,2.22E+00,,,,,
other,10,25,0.7,7.27E-07,O,20,0,4.79E-04,,,,,
,,,,,,,,,,,,,
other,50,90,0.7,DEAD,O,30,0,DEAD,,,,,
other,70,90,0.7,DEAD,O,30,0,DEAD,,,,,
other,70,90,0.7,DEAD,O,30,0,DEAD,,,,,
,,,,,,,,,,,,,
other,10,90,0.8,DEAD,O,10,0,DEAD,,,,,
other,20,90,0.8,DEAD,O,10,0,DEAD,,,,,
other,50,90,0.8,DEAD,O,10,0,DEAD,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
other,10,0,0.8,DEAD,O,20,0,DEAD,,,,,
other,10,20,0.8,0.012399205,O,20,0,8.23E+00,,,,,
other,10,15,0.8,6.51E-03,O,20,0,4.30E+00,,,,,
other,20,20,0.8,DEAD,O,20,0,DEAD,,,,,
other,20,30,0.8,0.013044363,O,20,0,8.24E+00,,,,,
other,25,30,0.8,DEAD,O,20,0,DEAD,,,,,
other,25,40,0.8,1.27E-02,O,20,0,8.30E+00,,,,,
other,25,45,0.8,2.37E-04,O,20,0,1.56E-01,,,,,
other,30,35,0.8,DEAD,O,20,0,DEAD,,,,,
other,30,40,0.8,1.49E-06,O,20,0,9.85E-04,,,,,
other,30,45,0.8,5.98E-03,O,20,0,3.92E+00,,,,,
other,35,45,0.8,DEAD,O,20,0,DEAD,,,,,
other,35,55,0.8,1.47E-02,O,20,0,9.50E+00,,,,,
other,40,50,0.8,DEAD,O,20,0,DEAD,,,,,
other,40,55,0.8,7.01E-07,O,20,0,4.63E-04,,,,,
other,50,70,0.8,3.30E-07,O,20,0,2.18E-04,,,,,
other,50,80,0.8,2.36E-02,O,20,0,1.46E+01,,,,,
other,50,75,0.8,3.24E-03,O,20,0,2.12E+00,,,,,
,,,,,,,,,,,,,
other,50,90,0.8,DEAD,O,30,0,DEAD,,,,,
other,60,90,0.8,DEAD,O,30,0,DEAD,,,,,
other,70,90,0.8,DEAD,O,30,0,DEAD,,,,,
other,25,35,0.8,DEAD,O,30,0,DEAD,,,,,
other,25,30,0.8,DEAD,O,30,0,DEAD,,,,,
,,,,,,,,,,,,,
other,10,90,0.9,DEAD,O,10,0,DEAD,,,,,
other,50,90,0.9,4.28E-03,O,30,0,1.69E+00,,,,,
other,50,70,0.9,DEAD,O,30,0,DEAD,,,,,
,,,,,,,0,,,,,,
other,10,0,1,DEAD,O,10,0,DEAD,,,,,
other,10,90,1,1.04E-07,O,10,0,1.25E-04,,,,,
other,20,90,1,DEAD,O,10,0,DEAD,,,,,
other,30,90,1,DEAD,O,10,0,DEAD,,,,,
other,50,50,1,DEAD,O,10,0,DEAD,,,,,
,,,,,,,,,,,,,
other,10,0,1,DEAD,O,20,0,DEAD,,,,,
other,20,0,1,3.65E-04,O,20,0,2.41E-01,,,,,
other,25,10,1,9.82E-04,O,20,0,6.48E-01,,,,,
other,25,40,1,1.49E-03,O,30,0,5.91E-01,,,,,
other,30,5,1,DEAD,O,20,0,DEAD,,,,,
other,30,15,1,2.73E-07,O,20,0,1.80E-04,,,,,
other,30,20,1,2.35E-03,O,20,0,1.55E+00,,,,,
other,40,20,1,DEAD,O,20,0,DEAD,,,,,
other,40,20,1,DEAD,O,20,0,DEAD,,,,,
other,40,30,1,2.11E-02,O,20,0,1.35E+01,,,,,
other,40,50,1,8.25E-03,O,20,0,5.41E+00,,,,,
other,25,40,1,1.31E-02,O,20,0,8.60E+00,,,,,
other,25,35,1,1.62E-02,O,20,0,1.06E+01,,,,,
other,25,0,1,DEAD,O,20,0,DEAD,,,,,
other,50,50,1,DEAD,O,20,0,DEAD,,,,,
other,50,60,1,1.67E-02,O,20,0,1.10E+01,,,,,
,,,,,,,,,,,,,
other,50,70,1,DEAD,O,30,0,DEAD,,,,,
